publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Verfahren zur automatischen Anpassung der Kraftstoffdosierung bei Fahrzeugen für Benzin/Methanol-Mischbetrieb	978-3-531-03012-8	978-3-322-87707-9							https://link.springer.com/10.1007/978-3-322-87707-9	Pischinger	10.1007/978-3-322-87707-9		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3012	1		12398		P
Wechselbeziehung zwischen Umformgrad, thermischer Nachbehandlung, Gefügeinhomogenität und Verhalten bei schwingender Beanspruchung des Werkstoffes TiAl6V4	978-3-531-03130-9	978-3-322-87705-5							https://link.springer.com/10.1007/978-3-322-87705-5	Broichhausen	10.1007/978-3-322-87705-5		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3130	1		12398		P
Beanspruchung der Meißelschneiden von Maschinen der schneidenden und schälenden Gewinnung und die dadurch bedingte Spankrafterhöhung	978-3-531-03131-6	978-3-322-87708-6							https://link.springer.com/10.1007/978-3-322-87708-6	Sann	10.1007/978-3-322-87708-6		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3131	1		12398		P
Untersuchungen zum Fügen von Befestigungselementen auf körperschalldämpfende Verbundelemente aus Aluminium	978-3-531-03127-9	978-3-322-87709-3							https://link.springer.com/10.1007/978-3-322-87709-3	Vezin	10.1007/978-3-322-87709-3		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3127	1		12398		P
Optimierung und Simulation von Mehrzweck-Speicher-Systemen in der Wasserwirtschaft	978-3-531-03135-4	978-3-322-87710-9							https://link.springer.com/10.1007/978-3-322-87710-9	Schultz	10.1007/978-3-322-87710-9		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3135	1		12398		P
Quantitativer spezifischer Schnellnachweis von Mikroorganismen in Lebensmitteln durch ein Immun-Chemilumineszenz-Verfahren	978-3-531-03147-7	978-3-322-87714-7							https://link.springer.com/10.1007/978-3-322-87714-7	Seidler	10.1007/978-3-322-87714-7		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982		1		12398		P
Bestimmung der Sitzposition und Körperhaltung von Zweiradfahrern für charakteristische Zweirad-Fahrerplatzkonfigurationen	978-3-531-03139-2	978-3-322-87712-3							https://link.springer.com/10.1007/978-3-322-87712-3	Shibli	10.1007/978-3-322-87712-3		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3139	1		12398		P
Möglichkeiten und Grenzen der holografischen Prüfung von Verbundwerkstoffen	978-3-531-03142-2	978-3-322-87711-6							https://link.springer.com/10.1007/978-3-322-87711-6	Neumann	10.1007/978-3-322-87711-6		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3142	1		12398		P
Lärmerzeugung von Hubschraubern unter besonderer Berücksichtigung des Heckrotors	978-3-531-03144-6	978-3-322-87713-0							https://link.springer.com/10.1007/978-3-322-87713-0	Staufenbiel	10.1007/978-3-322-87713-0		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3144	1		12398		P
Untersuchungen zur Reduzierung der Lärmimmission propellergetriebener Leichtflugzeuge und Motorsegler	978-3-531-03154-5	978-3-322-87716-1							https://link.springer.com/10.1007/978-3-322-87716-1	Kramer	10.1007/978-3-322-87716-1		fulltext		VS Verlag für Sozialwissenschaften	monograph	1983	1983	3154	1		12398		P
Einfluß von Verformung und Rekristallisation auf die Ultraschallabsorption in Ein- und Vielkristallen	978-3-531-03146-0	978-3-322-87715-4							https://link.springer.com/10.1007/978-3-322-87715-4	Lenz	10.1007/978-3-322-87715-4		fulltext		VS Verlag für Sozialwissenschaften	monograph	1982	1982	3146	1		12398		P
Lichttechnisch-visuelle Einflüsse auf die Reaktionsfähigkeit des Menschen als Regler bei der Erfüllung von Tracking-Aufgaben	978-3-531-03167-5	978-3-322-87717-8							https://link.springer.com/10.1007/978-3-322-87717-8	Compes	10.1007/978-3-322-87717-8		fulltext		VS Verlag für Sozialwissenschaften	monograph	1983	1983	3167	1		12398		P
Grenzschichten in Gas-Teilchen-Strömungen hinter Stoßwellen	978-3-531-03171-2	978-3-322-87719-2							https://link.springer.com/10.1007/978-3-322-87719-2	Sommerfeld	10.1007/978-3-322-87719-2		fulltext		VS Verlag für Sozialwissenschaften	monograph	1983	1983	3171	1		12398		P
Erforschung des Langzeitverhaltens von LD-Schlacken als Straßenbaustoff	978-3-531-03170-5	978-3-322-87718-5							https://link.springer.com/10.1007/978-3-322-87718-5	Blunk	10.1007/978-3-322-87718-5		fulltext		VS Verlag für Sozialwissenschaften	monograph	1983	1983	3170	1		12398		P
